Day,Date,Price_USD,Thomas_Francis_Wallet_USD,Jordan_Shreeves_Wallet_USD
137,2030-02-03,7803.97461516,15607949230.32,15607949230.32
138,2030-02-04,8963.72591373,17927451827.46,17927451827.46
139,2030-02-05,9417.35518161,18834710363.22,18834710363.22
140,2030-02-06,9699.72706336,19399454126.72,19399454126.72
141,2030-02-07,8620.94307381,17241886147.62,17241886147.62
142,2030-02-08,8637.9066079,17275813215.8,17275813215.8
143,2030-02-09,8764.0760623,17528152124.6,17528152124.6
144,2030-02-10,8935.72028835,17871440576.7,17871440576.7
145,2030-02-11,9462.05709861,18924114197.22,18924114197.22
146,2030-02-12,8942.63346028,17885266920.56,17885266920.56
147,2030-02-13,8697.42410774,17394848215.48,17394848215.48
148,2030-02-14,8275.16612404,16550332248.08,16550332248.08
149,2030-02-15,8214.43646278,16428872925.56,16428872925.56
150,2030-02-16,7177.14813344,14354296266.88,14354296266.88
151,2030-02-17,7833.78768982,15667575379.64,15667575379.64
152,2030-02-18,8224.43053906,16448861078.12,16448861078.12
153,2030-02-19,8833.65963192,17667319263.84,17667319263.84
154,2030-02-20,8816.34364991,17632687299.82,17632687299.82
155,2030-02-21,9118.51167017,18237023340.34,18237023340.34
156,2030-02-22,8858.30932817,17716618656.34,17716618656.34
157,2030-02-23,10155.86598293,20311731965.86,20311731965.86
158,2030-02-24,9288.30991163,18576619823.26,18576619823.26
159,2030-02-25,8416.88186922,16833763738.44,16833763738.44
160,2030-02-26,8418.68685102,16837373702.04,16837373702.04
161,2030-02-27,8624.75420045,17249508400.9,17249508400.9
162,2030-02-28,10520.94764774,21041895295.48,21041895295.48
163,2030-03-01,11566.81808396,23133636167.92,23133636167.92
164,2030-03-02,8739.29648352,17478592967.04,17478592967.04
165,2030-03-03,8234.31145756,16468622915.12,16468622915.12
166,2030-03-04,7697.98347463,15395966949.26,15395966949.26
167,2030-03-05,7190.99439928,14381988798.56,14381988798.56
168,2030-03-06,7735.37389571,15470747791.42,15470747791.42
169,2030-03-07,8425.46210841,16850924216.82,16850924216.82
170,2030-03-08,9137.79706212,18275594124.24,18275594124.24
171,2030-03-09,8562.85705705,17125714114.1,17125714114.1
172,2030-03-10,7717.48426262,15434968525.24,15434968525.24
173,2030-03-11,7851.68057909,15703361158.18,15703361158.18
174,2030-03-12,12286.95471488,24573909429.76,24573909429.76
175,2030-03-13,12626.53542568,25253070851.36,25253070851.36
176,2030-03-14,13577.45976253,27154919525.06,27154919525.06
177,2030-03-15,14658.22928235,29316458564.7,29316458564.7
178,2030-03-16,16380.57967751,32761159355.02,32761159355.02
179,2030-03-17,17630.79343442,35261586868.84,35261586868.84
180,2030-03-18,15658.88739958,31317774799.16,31317774799.16
181,2030-03-19,14988.06593005,29976131860.1,29976131860.1
182,2030-03-20,14880.08167656,29760163353.12,29760163353.12
183,2030-03-21,17429.87648031,34859752960.62,34859752960.62
184,2030-03-22,16663.45146197,33326902923.94,33326902923.94
185,2030-03-23,16428.08783167,32856175663.34,32856175663.34
186,2030-03-24,16308.99915506,32617998310.12,32617998310.12
187,2030-03-25,17442.62695014,34885253900.28,34885253900.28
188,2030-03-26,17188.09288965,34376185779.3,34376185779.3
189,2030-03-27,17768.24041775,35536480835.5,35536480835.5
190,2030-03-28,16073.96097849,32147921956.98,32147921956.98
191,2030-03-29,15923.00334123,31846006682.46,31846006682.46
192,2030-03-30,17232.37976657,34464759533.14,34464759533.14
193,2030-03-31,18231.83499438,36463669988.76,36463669988.76
194,2030-04-01,18095.55298879,36191105977.58,36191105977.58
195,2030-04-02,19597.33866817,39194677336.34,39194677336.34
196,2030-04-03,21195.99440892,42391988817.84,42391988817.84
197,2030-04-04,22137.82426513,44275648530.26,44275648530.26
198,2030-04-05,23645.31050835,47290621016.7,47290621016.7
199,2030-04-06,25507.68448768,51015368975.36,51015368975.36
200,2030-04-07,23675.27575181,47350551503.62,47350551503.62
201,2030-04-08,22541.08481629,45082169632.58,45082169632.58
202,2030-04-09,23180.15326619,46360306532.38,46360306532.38
203,2030-04-10,26872.4449563,53744889912.6,53744889912.6
204,2030-04-11,26927.54101056,53855082021.12,53855082021.12
205,2030-04-12,38667.80831101,77335616622.02,77335616622.02
206,2030-04-13,43116.40206012,86232804120.24,86232804120.24
207,2030-04-14,42486.87841901,84973756838.02,84973756838.02
208,2030-04-15,41584.35475564,83168709511.28,83168709511.28
209,2030-04-16,34753.78384303,69507567686.06,69507567686.06
210,2030-04-17,34757.76053086,69515521061.72,69515521061.72
211,2030-04-18,36858.80388543,73717607770.86,73717607770.86
212,2030-04-19,34367.34844078,68734696881.56,68734696881.56
213,2030-04-20,37282.50000384,74565000007.68,74565000007.68
214,2030-04-21,34655.59667339,69311193346.78,69311193346.78
215,2030-04-22,33289.33989086,66578679781.72,66578679781.72
216,2030-04-23,31086.2560184,62172512036.8,62172512036.8
217,2030-04-24,29159.88913776,58319778275.52,58319778275.52
218,2030-04-25,26078.29892114,52156597842.28,52156597842.28
219,2030-04-26,25550.64660245,51101293204.9,51101293204.9
220,2030-04-27,24891.55188829,49783103776.58,49783103776.58
221,2030-04-28,24453.82029109,48907640582.18,48907640582.18
222,2030-04-29,24993.64631147,49987292622.94,49987292622.94
223,2030-04-30,21990.78231152,43981564623.04,43981564623.04
224,2030-05-01,22995.78812267,45991576245.34,45991576245.34
225,2030-05-02,24233.8809718,48467761943.6,48467761943.6
226,2030-05-03,24066.70111515,48133402230.3,48133402230.3
227,2030-05-04,25351.54994624,50703099892.48,50703099892.48
228,2030-05-05,25353.72418949,50707448378.98,50707448378.98
229,2030-05-06,30769.76136706,61539522734.12,61539522734.12
230,2030-05-07,33745.73562151,67491471243.02,67491471243.02
231,2030-05-08,36256.83005831,72513660116.62,72513660116.62
232,2030-05-09,32736.24648867,65472492977.34,65472492977.34
233,2030-05-10,32991.03054946,65982061098.92,65982061098.92
234,2030-05-11,35148.64271966,70297285439.32,70297285439.32
235,2030-05-12,38216.63151377,76433263027.54,76433263027.54
236,2030-05-13,38350.4818016,76700963603.2,76700963603.2
237,2030-05-14,45396.3699148,90792739829.6,90792739829.6
238,2030-05-15,47520.49388349,95040987766.98,95040987766.98
239,2030-05-16,71261.31407191,142522628143.82,142522628143.82
240,2030-05-17,76467.11638101,152934232762.02,152934232762.02
241,2030-05-18,80600.1430064,161200286012.8,161200286012.8
242,2030-05-19,86918.04479333,173836089586.66,173836089586.66
243,2030-05-20,91938.38369566,183876767391.32,183876767391.32
244,2030-05-21,91680.58955858,183361179117.16,183361179117.16
245,2030-05-22,101202.60549652,202405210993.04,202405210993.04
246,2030-05-23,91019.64700479,182039294009.58,182039294009.58
247,2030-05-24,87781.29884278,175562597685.56,175562597685.56
248,2030-05-25,89917.12444814,179834248896.28,179834248896.28
249,2030-05-26,97348.16087144,194696321742.88,194696321742.88
250,2030-05-27,102181.29103749,204362582074.98,204362582074.98
251,2030-05-28,94996.95756357,189993915127.14,189993915127.14
252,2030-05-29,104978.38234434,209956764688.68,209956764688.68
253,2030-05-30,119935.83177285,239871663545.7,239871663545.7
254,2030-05-31,139888.59613935,279777192278.7,279777192278.7
255,2030-06-01,145433.77381935,290867547638.7,290867547638.7
256,2030-06-02,174733.87641142,349467752822.84,349467752822.84
257,2030-06-03,186139.96466205,372279929324.1,372279929324.1
258,2030-06-04,193929.96130144,387859922602.88,387859922602.88
259,2030-06-05,197265.34902654,394530698053.08,394530698053.08
260,2030-06-06,188553.80350025,377107607000.5,377107607000.5
261,2030-06-07,186412.89015277,372825780305.54,372825780305.54
262,2030-06-08,189687.70375283,379375407505.66,379375407505.66
263,2030-06-09,186204.91879145,372409837582.9,372409837582.9
264,2030-06-10,188576.26096184,377152521923.68,377152521923.68
265,2030-06-11,160038.85353028,320077707060.56,320077707060.56
266,2030-06-12,175410.19898341,350820397966.82,350820397966.82
267,2030-06-13,154602.31733502,309204634670.04,309204634670.04
268,2030-06-14,158774.75556222,317549511124.44,317549511124.44
269,2030-06-15,162098.24195336,324196483906.72,324196483906.72
270,2030-06-16,162487.01550416,324974031008.32,324974031008.32
271,2030-06-17,156407.46980252,312814939605.04,312814939605.04
272,2030-06-18,169438.60801572,338877216031.44,338877216031.44
273,2030-06-19,179167.60323161,358335206463.22,358335206463.22
274,2030-06-20,193001.20520904,386002410418.08,386002410418.08
275,2030-06-21,185052.23950808,370104479016.16,370104479016.16
276,2030-06-22,203943.90388151,407887807763.02,407887807763.02
277,2030-06-23,189593.13236737,379186264734.74,379186264734.74
278,2030-06-24,195867.24862847,391734497256.94,391734497256.94
279,2030-06-25,180658.38158461,361316763169.22,361316763169.22
280,2030-06-26,193825.33483404,387650669668.08,387650669668.08
281,2030-06-27,181697.38758408,363394775168.16,363394775168.16
282,2030-06-28,200128.25038733,400256500774.66,400256500774.66
283,2030-06-29,153498.83970748,306997679414.96,306997679414.96
284,2030-06-30,139728.50231456,279457004629.12,279457004629.12
285,2030-07-01,138567.08566528,277134171330.56,277134171330.56
286,2030-07-02,141254.4216703,282508843340.6,282508843340.6
287,2030-07-03,159189.63306626,318379266132.52,318379266132.52
288,2030-07-04,162663.96408816,325327928176.32,325327928176.32
289,2030-07-05,172768.27553998,345536551079.96,345536551079.96
290,2030-07-06,160636.356506,321272713012.0,321272713012.0
291,2030-07-07,157753.2733943,315506546788.6,315506546788.6
292,2030-07-08,148341.11341133,296682226822.66,296682226822.66
293,2030-07-09,147313.01031768,294626020635.36,294626020635.36
294,2030-07-10,149698.69562248,299397391244.96,299397391244.96
295,2030-07-11,142821.56597677,285643131953.54,285643131953.54
296,2030-07-12,149612.07410039,299224148200.78,299224148200.78
297,2030-07-13,159288.60416205,318577208324.1,318577208324.1
298,2030-07-14,137405.7380902,274811476180.4,274811476180.4
299,2030-07-15,124978.72873676,249957457473.52,249957457473.52
300,2030-07-16,117973.00036101,235946000722.02,235946000722.02
301,2030-07-17,113456.28394123,226912567882.46,226912567882.46
302,2030-07-18,114187.03178841,228374063576.82,228374063576.82
303,2030-07-19,116147.79044867,232295580897.34,232295580897.34
304,2030-07-20,107023.47938239,214046958764.78,214046958764.78
305,2030-07-21,101129.80555146,202259611102.92,202259611102.92
306,2030-07-22,96246.52251376,192493045027.52,192493045027.52
307,2030-07-23,105855.75367533,211711507350.66,211711507350.66
308,2030-07-24,104575.91876329,209151837526.58,209151837526.58
309,2030-07-25,99529.7027818,199059405563.6,199059405563.6
310,2030-07-26,105835.04163842,211670083276.84,211670083276.84
311,2030-07-27,101502.37380035,203004747600.7,203004747600.7
312,2030-07-28,104415.76477444,208831529548.88,208831529548.88
313,2030-07-29,101940.1747436,203880349487.2,203880349487.2
314,2030-07-30,96955.22176595,193910443531.9,193910443531.9
315,2030-07-31,88514.85835828,177029716716.56,177029716716.56
316,2030-08-01,111589.9092319,223179818463.8,223179818463.8
317,2030-08-02,113868.57914668,227737158293.36,227737158293.36
318,2030-08-03,116411.45960659,232822919213.18,232822919213.18
319,2030-08-04,140792.00094073,281584001881.46,281584001881.46
320,2030-08-05,136536.03268185,273072065363.7,273072065363.7
321,2030-08-06,113596.02436254,227192048725.08,227192048725.08
322,2030-08-07,109145.65539848,218291310796.96,218291310796.96
323,2030-08-08,105437.35119418,210874702388.36,210874702388.36
324,2030-08-09,109706.41107572,219412822151.44,219412822151.44
325,2030-08-10,119024.44130244,238048882604.88,238048882604.88
326,2030-08-11,121827.60514244,243655210284.88,243655210284.88
327,2030-08-12,104275.20366605,208550407332.1,208550407332.1
328,2030-08-13,101632.55454946,203265109098.92,203265109098.92
329,2030-08-14,100227.72640326,200455452806.52,200455452806.52
330,2030-08-15,90482.93556523,180965871130.46,180965871130.46
331,2030-08-16,96829.93830933,193659876618.66,193659876618.66
332,2030-08-17,94276.74237364,188553484747.28,188553484747.28
333,2030-08-18,86479.89367535,172959787350.7,172959787350.7
334,2030-08-19,84356.93711674,168713874233.48,168713874233.48
335,2030-08-20,76603.39733339,153206794666.78,153206794666.78
336,2030-08-21,76106.56034665,152213120693.3,152213120693.3
337,2030-08-22,81458.00701139,162916014022.78,162916014022.78
338,2030-08-23,80604.42909021,161208858180.42,161208858180.42
339,2030-08-24,74486.60052958,148973201059.16,148973201059.16
340,2030-08-25,67388.6339906,134777267981.2,134777267981.2
341,2030-08-26,69089.33941704,138178678834.08,138178678834.08
342,2030-08-27,65204.05406605,130408108132.1,130408108132.1
343,2030-08-28,64117.74789702,128235495794.04,128235495794.04
344,2030-08-29,60726.02137011,121452042740.22,121452042740.22
345,2030-08-30,59074.22759592,118148455191.84,118148455191.84
346,2030-08-31,64814.09944551,129628198891.02,129628198891.02
347,2030-09-01,61674.00292,123348005840.0,123348005840.0
348,2030-09-02,62009.05469264,124018109385.28,124018109385.28
349,2030-09-03,57490.20836345,114980416726.9,114980416726.9
350,2030-09-04,55697.50649253,111395012985.06,111395012985.06
351,2030-09-05,54466.49550627,108932991012.54,108932991012.54
352,2030-09-06,53192.99426682,106385988533.64,106385988533.64
353,2030-09-07,52936.90893143,105873817862.86,105873817862.86
354,2030-09-08,48989.4177815,97978835563.0,97978835563.0
355,2030-09-09,48244.20083566,96488401671.32,96488401671.32
356,2030-09-10,54611.23448853,109222468977.06,109222468977.06
357,2030-09-11,51403.41593968,102806831879.36,102806831879.36
358,2030-09-12,55255.53352024,110511067040.48,110511067040.48
359,2030-09-13,66146.46929913,132292938598.26,132292938598.26
360,2030-09-14,65609.51326426,131219026528.52,131219026528.52
361,2030-09-15,73936.77918982,147873558379.64,147873558379.64
362,2030-09-16,67377.63770038,134755275400.76,134755275400.76
363,2030-09-17,75227.91070288,150455821405.76,150455821405.76
364,2030-09-18,77307.67427151,154615348543.02,154615348543.02
365,2030-09-19,86210.0,172420000000.0,172420000000.0
